,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
0,Abbotsford,627,319.0,535.0,4740.0,1582.0,997.0,3435.0,1743.0,66.33835457705678,33.661645422943224,4512.0,3672.0,55.13196480938416,44.868035190615835
1,Aberfeldie,647,179.0,897.0,850.0,1281.0,684.0,1166.0,953.0,55.025955639452576,44.974044360547424,3021.0,876.0,77.5211701308699,22.478829869130102
2,Airport West,757,463.0,1012.0,2240.0,1920.0,1932.0,1727.0,1883.0,47.8393351800554,52.1606648199446,5064.0,2500.0,66.94870438921205,33.051295610787946
3,Albanvale,787,371.0,1000.0,1621.0,1373.0,1129.0,641.0,1404.0,31.34474327628362,68.65525672371639,2287.0,3204.0,41.64997268257148,58.35002731742852
4,Albert Park,797,367.0,938.0,1469.0,1943.0,1493.0,2128.0,941.0,69.3385467579016,30.661453242098403,4095.0,2120.0,65.8889782783588,34.11102172164119
5,Albion,837,340.0,600.0,2022.0,978.0,791.0,722.0,1246.0,36.6869918699187,63.31300813008131,1847.0,2884.0,39.04037201437328,60.95962798562672
6,Alphington,1047,222.0,955.0,1443.0,1585.0,881.0,1854.0,968.0,65.69808646350106,34.30191353649894,3765.0,1315.0,74.11417322834646,25.88582677165354
7,Altona,1057,668.0,1565.0,2836.0,3008.0,2692.0,2708.0,2389.0,53.12929174023936,46.87070825976065,6955.0,3807.0,64.62553428730719,35.37446571269281
8,Altona Meadows,1127,1180.0,3056.0,5669.0,5404.0,3849.0,3605.0,5300.0,40.48287478944413,59.51712521055587,11336.0,7824.0,59.16492693110648,40.83507306889353
9,Altona North,1137,933.0,1948.0,3444.0,2676.0,3163.0,2206.0,2426.0,47.62521588946459,52.37478411053541,6589.0,5563.0,54.22152732060567,45.77847267939434
10,Ardeer,1507,224.0,478.0,1043.0,704.0,650.0,477.0,778.0,38.00796812749004,61.992031872509955,1438.0,1665.0,46.34224943602965,53.65775056397035
11,Armadale,1587,461.0,1179.0,3270.0,2139.0,2002.0,3096.0,1791.0,63.35174953959485,36.64825046040516,5811.0,3243.0,64.181577203446,35.81842279655401
12,Ascot Vale,1757,1062.0,2252.0,5158.0,4054.0,2232.0,4483.0,3129.0,58.893851812926954,41.106148187073046,9499.0,5251.0,64.4,35.6
13,Ashburton,1787,519.0,1646.0,1726.0,2344.0,1533.0,2360.0,1305.0,64.39290586630287,35.60709413369714,5395.0,2356.0,69.60392207457102,30.396077925428976
14,Ashwood,1807,405.0,1200.0,2043.0,1773.0,1466.0,1775.0,1351.0,56.78182981445937,43.21817018554063,3883.0,3003.0,56.38977635782748,43.61022364217252
15,Aspendale,1817,446.0,1428.0,1586.0,2120.0,1359.0,1952.0,1568.0,55.45454545454545,44.54545454545455,5235.0,1705.0,75.43227665706051,24.56772334293948
16,Aspendale Gardens,1837,332.0,1444.0,1407.0,2108.0,1229.0,1636.0,1774.0,47.976539589442815,52.023460410557185,4319.0,2211.0,66.14088820826952,33.85911179173047
17,Attwood,1857,151.0,791.0,772.0,1217.0,478.0,810.0,1020.0,44.26229508196721,55.73770491803278,2491.0,928.0,72.85756069026031,27.14243930973969
18,Avondale Heights,1957,636.0,1701.0,2825.0,2890.0,3589.0,2297.0,2506.0,47.824276493858,52.17572350614199,6178.0,5455.0,53.10753889796269,46.89246110203731
19,Bacchus Marsh,2047,363.0,1155.0,1416.0,1607.0,1851.0,1179.0,1489.0,44.190404797601204,55.809595202398796,5076.0,1318.0,79.38692524241476,20.613074757585238
20,Balaclava,2197,319.0,593.0,2535.0,1262.0,690.0,1924.0,1229.0,61.02124960355218,38.97875039644782,3140.0,2256.0,58.19125277983692,41.808747220163085
21,Balwyn,2557,536.0,2734.0,2981.0,3729.0,3326.0,3612.0,2313.0,60.962025316455694,39.0379746835443,7361.0,5951.0,55.295973557692314,44.70402644230769
22,Balwyn North,2597,820.0,4831.0,4079.0,6188.0,4488.0,5587.0,3743.0,59.88210075026795,40.11789924973205,11784.0,8622.0,57.747721258453396,42.252278741546604
23,Bayswater,3337,793.0,1784.0,3616.0,2895.0,2680.0,2572.0,3019.0,46.00250402432481,53.99749597567519,7389.0,4369.0,62.84232012246981,37.15767987753019
24,Bayswater North,3387,645.0,1435.0,2677.0,2304.0,1724.0,2040.0,2415.0,45.79124579124579,54.20875420875421,6299.0,2490.0,71.66913186938218,28.33086813061782
25,Beaconsfield,3417,365.0,1654.0,1425.0,2217.0,1046.0,1681.0,1925.0,46.61674986134221,53.383250138657786,5280.0,1434.0,78.64164432529044,21.35835567470956
26,Beaconsfield Upper,3457,151.0,683.0,535.0,903.0,592.0,820.0,669.0,55.07051712558765,44.92948287441236,2305.0,556.0,80.56623558196435,19.43376441803565
27,Beaumaris,3547,541.0,2884.0,2019.0,4235.0,3651.0,3859.0,2485.0,60.82912988650694,39.170870113493066,9655.0,3694.0,72.32751516967562,27.67248483032437
28,Bellfield,3787,141.0,253.0,635.0,436.0,323.0,380.0,416.0,47.73869346733669,52.26130653266332,1104.0,689.0,61.57278304517568,38.42721695482432
29,Bentleigh,4117,1008.0,3247.0,3860.0,4907.0,3142.0,4696.0,3198.0,59.48821890043071,40.51178109956929,9935.0,6218.0,61.50560267442581,38.4943973255742
30,Bentleigh East,4127,1867.0,5551.0,6397.0,8158.0,5675.0,7303.0,5914.0,55.254596353181505,44.745403646818495,17265.0,10370.0,62.47512212773657,37.52487787226343
31,Berwick,4297,3370.0,11033.0,11745.0,13493.0,8019.0,11297.0,11817.0,48.87514060742407,51.12485939257593,31139.0,16535.0,65.31652473046104,34.68347526953895
32,Black Rock,4627,270.0,1188.0,1000.0,1893.0,1808.0,1828.0,1069.0,63.099758370728345,36.90024162927166,4399.0,1760.0,71.42393245656763,28.576067543432377
