,Unnamed: 0,Suburb,ID,Jan 2020 Median,April 2020 Median,Jan 2020 Number Sold,April 2020 Number Sold
0,0,Abbotsford,627,1110000,1115000,18,16
1,1,Aberfeldie,647,,1520000,8,11
2,2,Airport West,757,840000,785000,32,25
3,3,Albanvale,787,530000,540000,14,11
4,4,Albert Park,797,2423000,1679000,26,30
5,5,Albion,837,,684000,6,12
6,6,Alphington,1047,1718000,1471000,12,16
7,7,Altona,1057,888000,1019000,44,32
8,8,Altona Meadows,1127,640000,650000,48,36
9,9,Altona North,1137,801000,825000,65,52
10,10,Ardeer,1507,585000,,12,7
11,11,Armadale,1587,3250000,2100000,19,23
12,12,Ascot Vale,1757,1066000,1236000,32,32
13,13,Ashburton,1787,1580000,1521000,28,24
14,14,Ashwood,1807,1108000,1226000,10,18
15,15,Aspendale,1817,960000,1095000,24,33
16,16,Aspendale Gardens,1837,906000,925000,11,14
17,17,Attwood,1857,,,5,7
18,18,Avondale Heights,1957,860000,800000,37,33
19,19,Bacchus Marsh,2047,585000,550000,24,20
20,20,Balaclava,2197,,1395000,8,10
21,21,Balwyn,2557,2485000,2260000,42,30
22,22,Balwyn North,2597,2017000,1910000,58,59
23,23,Bayswater,3337,760000,733000,27,33
24,24,Bayswater North,3387,710000,750000,24,23
25,25,Beaconsfield,3417,795000,785000,27,20
26,26,Beaconsfield Upper,3457,,1054000,6,12
27,27,Beaumaris,3547,1625000,1660000,59,38
28,28,Bellfield,3787,,,5,7
29,29,Bentleigh,4117,1405000,1500000,53,45
30,30,Bentleigh East,4127,1225000,1250000,122,90
31,31,Berwick,4297,675000,704000,191,135
32,32,Black Rock,4627,1660000,1830000,29,22
33,33,Blackburn,4637,1220000,1363000,31,38
34,34,Blackburn North,4657,1151000,1041000,24,31
35,35,Blackburn South,4667,1185000,1150000,32,25
36,36,Bonbeach,5007,888000,870000,25,21
37,37,Boronia,5327,700000,721000,66,68
38,38,Box Hill,5477,1510000,1592000,14,22
39,39,Braybrook,5697,665000,660000,23,31
40,40,Briar Hill,5807,,,9,4
41,41,Brighton,5957,2524000,2858000,77,67
42,42,Brighton East,5997,1800000,1798000,55,51
43,43,Broadmeadows,6127,536000,550000,26,18
44,44,Brookfield,6207,496000,515000,54,35
45,45,Brooklyn,6227,630000,,10,6
46,46,Brunswick,6377,1150000,1117000,46,48
47,47,Brunswick East,6427,993000,1033000,25,33
48,48,Brunswick West,6447,1055000,1100000,24,29
49,49,Bulleen,6707,1210000,1204000,50,26
50,50,Bullengarook,6717,,,2,1
51,51,Bundoora,6877,745000,748000,88,68
52,52,Burnley,7117,,,2,2
53,53,Burnside,7137,616000,686000,15,14
54,54,Burnside Heights,48297,595000,655000,20,10
55,55,Burwood,7237,1086000,1053000,35,30
56,56,Burwood East,7327,1114000,1065000,25,41
57,57,Cairnlea,7527,769000,810000,24,24
58,58,Camberwell,7677,2100000,2050000,57,37
59,59,Campbellfield,7717,,,4,4
60,60,Canterbury,7907,2851000,2510000,20,21
61,61,Carlton,8217,,,8,7
62,62,Carlton North,8247,1850000,,17,9
63,63,Carnegie,8297,1548000,1330000,24,25
64,64,Caroline Springs,8327,665000,640000,68,64
65,65,Carrum,8497,660000,778000,17,14
66,66,Carrum Downs,8507,560000,581000,86,66
67,67,Caulfield,8687,1800000,,15,8
68,68,Caulfield East,8707,,,3,6
69,69,Caulfield North,8747,2410000,2420000,19,32
70,70,Caulfield South,8787,1720000,1720000,25,26
71,71,Chadstone,8847,1150000,1026000,28,20
72,72,Chelsea,8927,890000,729000,22,31
73,73,Chelsea Heights,8937,781000,824000,11,14
74,74,Cheltenham,8967,1036000,1020000,54,75
75,75,Chirnside Park,9137,700000,760000,50,39
76,76,Clarinda,9257,848000,829000,17,20
77,77,Clayton,9327,1200000,948000,25,30
78,78,Clayton South,9367,855000,750000,28,19
79,79,Clifton Hill,9437,1594000,1400000,12,15
80,80,Coburg,9707,1050000,1024000,68,69
81,81,Coburg North,9727,792000,900000,31,33
82,82,Collingwood,9987,1100000,1198000,10,22
83,83,Coolaroo,10107,,,2,4
84,84,Craigieburn,10597,570000,575000,179,173
85,85,Cranbourne,10627,503000,520000,77,62
86,86,Cranbourne North,10657,562000,578000,94,71
87,87,Cremorne,10737,,,10,5
88,88,Croydon,10867,741000,755000,107,82
89,89,Croydon Hills,10877,870000,,11,9
90,90,Croydon North,10887,850000,825000,32,25
91,91,Croydon South,10897,750000,763000,23,23
92,92,Dallas,11087,,488000,8,10
93,93,Dandenong,11157,595000,579000,54,52
94,94,Dandenong North,11187,632000,655000,60,39
95,95,Deepdene,11487,,,4,6
96,96,Deer Park,11507,575000,578000,61,50
97,97,Delahey,11547,,600000,9,12
98,98,Derrimut,161087,653000,645000,25,19
99,99,Diamond Creek,11867,741000,735000,38,41
100,100,Diggers Rest,11897,580000,,12,9
101,101,Dingley Village,11977,891000,856000,28,20
102,102,Docklands,12117,,,2,1
103,103,Doncaster,12177,1260000,1225000,61,39
104,104,Doncaster East,12227,1268000,1250000,76,89
105,105,Donvale,12247,1300000,1270000,27,32
106,106,Doreen,12307,630000,625000,105,94
107,107,Doveton,12367,520000,,23,10
108,108,Eaglemont,13037,1663000,1900000,18,14
109,109,East Melbourne,13127,,,3,3
110,110,Edithvale,13457,1055000,960000,21,22
111,111,Elsternwick,13627,1925000,1876000,21,13
112,112,Eltham,13677,1040000,905000,51,49
113,113,Eltham North,13687,955000,977000,14,22
114,114,Elwood,13717,1820000,1690000,23,22
115,115,Emerald,13747,749000,740000,23,19
116,116,Endeavour Hills,13797,640000,650000,72,70
