,Unnamed: 0,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+
0,0,Abbotsford,627,319,535,4740,1582,997
1,1,Aberfeldie,647,179,897,850,1281,684
2,2,Airport West,757,463,1012,2240,1920,1932
3,3,Albanvale,787,371,1000,1621,1373,1129
4,4,Albert Park,797,367,938,1469,1943,1493
5,5,Albion,837,340,600,2022,978,791
6,6,Alphington,1047,222,955,1443,1585,881
7,7,Altona,1057,668,1565,2836,3008,2692
8,8,Altona Meadows,1127,1180,3056,5669,5404,3849
9,9,Altona North,1137,933,1948,3444,2676,3163
10,10,Ardeer,1507,224,478,1043,704,650
11,11,Armadale,1587,461,1179,3270,2139,2002
12,12,Ascot Vale,1757,1062,2252,5158,4054,2232
13,13,Ashburton,1787,519,1646,1726,2344,1533
14,14,Ashwood,1807,405,1200,2043,1773,1466
15,15,Aspendale,1817,446,1428,1586,2120,1359
16,16,Aspendale Gardens,1837,332,1444,1407,2108,1229
17,17,Attwood,1857,151,791,772,1217,478
18,18,Avondale Heights,1957,636,1701,2825,2890,3589
19,19,Bacchus Marsh,2047,363,1155,1416,1607,1851
20,20,Balaclava,2197,319,593,2535,1262,690
21,21,Balwyn,2557,536,2734,2981,3729,3326
22,22,Balwyn North,2597,820,4831,4079,6188,4488
23,23,Bayswater,3337,793,1784,3616,2895,2680
24,24,Bayswater North,3387,645,1435,2677,2304,1724
25,25,Beaconsfield,3417,365,1654,1425,2217,1046
26,26,Beaconsfield Upper,3457,151,683,535,903,592
27,27,Beaumaris,3547,541,2884,2019,4235,3651
28,28,Bellfield,3787,141,253,635,436,323
29,29,Bentleigh,4117,1008,3247,3860,4907,3142
30,30,Bentleigh East,4127,1867,5551,6397,8158,5675
31,31,Berwick,4297,3370,11033,11745,13493,8019
32,32,Black Rock,4627,270,1188,1000,1893,1808
33,33,Blackburn,4637,724,2583,3557,3867,3218
34,34,Blackburn North,4657,479,1576,1865,2039,1487
