Suburb,,,,,,,,,,,,,,
Abbotsford,,,,,,,,,,,,, Bunyip, Caldermeade
Aberfeldie,,,,,,,,,,,,, Cora Lynn, Dalmore
Airport West,,,,,,,,,,,,, Guys Hill, Heath Hill
Albanvale,,,,,,,,,,,,, Menzies Creek, Modella
Albert Park,,,,,,,,,,,,, Officer, Pakenham
Albion,,,,,,,,,,,,, Tooradin North, Tynong
Alphington,,,,,,,,,,,,,,
Altona,,,,,,,,,,,,,,
Altona Meadows,,,,,,,,,,,,,,
Altona North,,,,,,,,,,,,,,
Ardeer,,,,,,,,,,,,,,
Armadale,,,,,,,,,,,,,,
Ascot Vale,,,,,,,,,,,,,,
Ashburton,,,,,,,,,,,,,,
Ashwood,,,,,,,,,,,,,,
Aspendale,,,,,,,,,,,,,,
Aspendale Gardens,,,,,,,,,,,,,,
Attwood,,,,,,,,,,,,,,
Avondale Heights,,,,,,,,,,,,,,
Bacchus Marsh,,,,,,,,,,,,,,
Balaclava,,,,,,,,,,,,,,
Balwyn,,,,,,,,,,,,,,
Balwyn North,,,,,,,,,,,,,,
Bayswater,,,,,,,,,,,,,,
Bayswater North,,,,,,,,,,,,,,
Beaconsfield,,,,,,,,,,,,,,
Beaconsfield Upper,,,,,,,,,,,,,,
Beaumaris,,,,,,,,,,,,,,
Bellfield,,,,,,,,,,,,,,
Bentleigh,,,,,,,,,,,,,,
Bentleigh East,,,,,,,,,,,,,,
Berwick,,,,,,,,,,,,,,
Black Rock,,,,,,,,,,,,,,
Blackburn,,,,,,,,,,,,,,
Blackburn North,,,,,,,,,,,,,,
Blackburn South,,,,,,,,,,,,,,
Bonbeach,,,,,,,,,,,,,,
Boronia,,,,,,,,,,,,,,
Box Hill,,,,,,,,,,,,,,
Braybrook,,,,,,,,,,,,,,
Briar Hill,,,,,,,,,,,,,,
Brighton,,,,,,,,,,,,,,
Brighton East,,,,,,,,,,,,,,
Broadmeadows,,,,,,,,,,,,,,
Brookfield,,,,,,,,,,,,,,
Brooklyn,,,,,,,,,,,,,,
Brunswick,,,,,,,,,,,,,,
Brunswick East,,,,,,,,,,,,,,
Brunswick West,,,,,,,,,,,,,,
Bulleen,,,,,,,,,,,,,,
Bullengarook,,,,,,,,,,,,,,
Bundoora,,,,,,,,,,,,,,
Burnley,,,,,,,,,,,,,,
Burnside,,,,,,,,,,,,,,
Burnside Heights,,,,,,,,,,,,,,
Burwood,,,,,,,,,,,,,,
